"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description","X2"
"19","PWY.1861","Genotype","HET",0.965882968932026,0.210715469920238,71,71,2.08840127166589e-05,0.000337530800123298,"formaldehyde assimilation II (RuMP Cycle)","C1-COMPOUNDS"
"20","PWY.3781","Genotype","MUT",0.789241198265359,0.387308697640425,71,71,0.0455860864108705,0.201116513709945,"aerobic respiration I (cytochrome c)","Electron-Transfer"
"21","PWY.3781","Genotype","MUT",0.789241198265359,0.387308697640425,71,71,0.0455860864108705,0.201116513709945,"aerobic respiration I (cytochrome c)","Respiration"
"22","PWY.3781","Genotype","HET",1.00026436484816,0.38304461875281,71,71,0.0111526147849119,0.0798714208548178,"aerobic respiration I (cytochrome c)","Electron-Transfer"
"23","PWY.3781","Genotype","HET",1.00026436484816,0.38304461875281,71,71,0.0111526147849119,0.0798714208548178,"aerobic respiration I (cytochrome c)","Respiration"
"24","PWY.5022","Genotype","HET",0.706464781359703,0.203094145133461,71,71,0.000897708843794397,0.00958624801051874,"4-aminobutanoate degradation V","AMINE-DEG"
"25","PWY.5177","Genotype","HET",1.37583986009688,0.674906653364767,71,42,0.0455032130259748,0.201116513709945,"glutaryl-CoA degradation","CARBOXYLATES-DEG"
"26","PWY.5304","Genotype","HET",0.563584390479638,0.264321120656039,71,71,0.036716298869679,0.177101299228813,"superpathway of sulfur oxidation (Acidianus ambivalens)","Noncarbon-Nutrients"
"27","PWY.5304","Genotype","HET",0.563584390479638,0.264321120656039,71,71,0.036716298869679,0.177101299228813,"superpathway of sulfur oxidation (Acidianus ambivalens)","Super-Pathways"
"28","PWY.5741","Genotype","HET",1.1261912086309,0.519386152348123,71,30,0.0337447791321591,0.166085414987911,"ethylmalonyl-CoA pathway","Energy-Metabolism"
"29","PWY.5920","Genotype","MUT",0.78519032427144,0.763009178370754,71,42,0.307203106040775,0.548380469887713,"superpathway of heme biosynthesis from glycine","Super-Pathways"
"30","PWY.5920","Genotype","MUT",0.78519032427144,0.763009178370754,71,42,0.307203106040775,0.548380469887713,"superpathway of heme biosynthesis from glycine","Cofactor-Biosynthesis"
"31","PWY.5920","Genotype","HET",1.64674342547063,0.754608821372916,71,42,0.0326556991198882,0.163415130323792,"superpathway of heme biosynthesis from glycine","Super-Pathways"
"32","PWY.5920","Genotype","HET",1.64674342547063,0.754608821372916,71,42,0.0326556991198882,0.163415130323792,"superpathway of heme biosynthesis from glycine","Cofactor-Biosynthesis"
"33","PWY.6572","Genotype","HET",0.51201304629134,0.239491242372272,71,71,0.0362306613869248,0.177101299228813,"chondroitin sulfate degradation I (bacterial)","Polymer-Degradation"
"34","PWY.6572","Genotype","HET",0.51201304629134,0.239491242372272,71,71,0.0362306613869248,0.177101299228813,"chondroitin sulfate degradation I (bacterial)","Carbohydrates-Degradation"
"35","PWY.6590","Genotype","HET",1.37541439321674,0.678071278268222,71,42,0.0465558916004379,0.201413192535104,"superpathway of Clostridium acetobutylicum acidogenic fermentation","Fermentation"
"36","PWY.6590","Genotype","HET",1.37541439321674,0.678071278268222,71,42,0.0465558916004379,0.201413192535104,"superpathway of Clostridium acetobutylicum acidogenic fermentation","Super-Pathways"
"37","PWY.7237","Genotype","HET",0.894267444744496,0.209340327314363,71,71,6.35903053962596e-05,0.00089475300298737,"myo-, chiro- and scillo-inositol degradation","Super-Pathways"
"38","PWY.7237","Genotype","HET",0.894267444744496,0.209340327314363,71,71,6.35903053962596e-05,0.00089475300298737,"myo-, chiro- and scillo-inositol degradation","SECONDARY-METABOLITE-DEGRADATION"
"39","PWY0.1241","Genotype","HET",0.570891765340707,0.277270145040851,71,71,0.0434467770844415,0.197238803138445,"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis","Carbohydrates-Biosynthesis"
"40","PWY0.1479","Genotype","MUT",0.588066164865814,0.260089264685133,71,71,0.0270605446163839,0.145131889512086,"tRNA processing","Nucleotide-Biosynthesis"
"41","PWY0.1479","Genotype","HET",0.702219216791745,0.257225809386567,71,71,0.00811297183046231,0.0624366170124968,"tRNA processing","Nucleotide-Biosynthesis"
"42","RUMP.PWY","Genotype","HET",0.95626987497089,0.204182850729479,71,71,1.4530578092996e-05,0.000248265305703188,"formaldehyde oxidation I","C1-COMPOUNDS"
"43","RUMP.PWY","Genotype","HET",0.95626987497089,0.204182850729479,71,71,1.4530578092996e-05,0.000248265305703188,"formaldehyde oxidation I","Energy-Metabolism"
"44","SO4ASSIM.PWY","Genotype","HET",0.512014841163146,0.20150757401708,71,71,0.0134148327830357,0.089181928812311,"sulfate reduction I (assimilatory)","Noncarbon-Nutrients"
"45","SO4ASSIM.PWY","Genotype","HET",0.512014841163146,0.20150757401708,71,71,0.0134148327830357,0.089181928812311,"sulfate reduction I (assimilatory)","Super-Pathways"
