Merged_ID,Date of Experiment_Day_1,Date_Imaged,Exclude,MouseID,Genotype,Sex,"Plate (P1, P2, etc.)","Section (A,B,C,D,E,F)",Stitch.tif found? ,Comments,Category,Area,Mean,Min,Max,IntDen,RawIntDen,Mean_Background_Avg,CTCF,Corrected_Mean
2.2.23_P5_A,2.2.23,2.6.23,No,15,MUT,Male,P5,A,True,,Contralateral,1457811,44.887,0,255,65436316,65436316,16.531,41337242.359,28.356
2.2.23_P5_A,2.2.23,2.6.23,No,15,MUT,Male,P5,A,True,,Ipsilateral,1549040,33.664,0,255,52147458,52147458,16.531,26540277.76,17.133
2.2.23_P5_C,2.2.23,2.20.23,No,25,WT,Female,P5,C,True,,Background_1,48848,16.967,0,140,828794,828794,18.45225,,
2.2.23_P5_C,2.2.23,2.20.23,No,25,WT,Female,P5,C,True,,Background_2,48848,20.438,0,227,998338,998338,18.45225,,
2.2.23_P5_C,2.2.23,2.20.23,No,25,WT,Female,P5,C,True,,Background_3,48848,19.994,0,192,976678,976678,18.45225,,
2.2.23_P5_C,2.2.23,2.20.23,No,25,WT,Female,P5,C,True,,Background_4,48848,16.41,0,159,801599,801599,18.45225,,
2.2.23_P5_C,2.2.23,2.20.23,No,25,WT,Female,P5,C,True,,Contralateral,779042,45.235,0,255,35239912,35239912,18.45225,20864834.2555,26.78275
2.2.23_P5_C,2.2.23,2.20.23,No,25,WT,Female,P5,C,True,,Ipsilateral,789220,41.024,0,255,32377056,32377056,18.45225,17814171.255,22.57175
2.22.23_P2_B,2.22.23,2.26.23,No,18,HET,Female,P2,B,True,,Background_1,12064,15.96,0,92,192539,192539,17.47125,,
2.22.23_P2_B,2.22.23,2.26.23,No,18,HET,Female,P2,B,True,,Background_2,9640,15.006,0,91,144660,144660,17.47125,,
2.22.23_P2_B,2.22.23,2.26.23,No,18,HET,Female,P2,B,True,,Background_3,9640,20.003,0,102,192825,192825,17.47125,,
2.22.23_P2_B,2.22.23,2.26.23,No,18,HET,Female,P2,B,True,,Background_4,11264,18.916,0,135,213065,213065,17.47125,,
2.22.23_P2_B,2.22.23,2.26.23,No,18,HET,Female,P2,B,True,,Contralateral,1736192,29.152,0,255,50613257,50613257,17.47125,20279812.52,11.68075
2.22.23_P2_B,2.22.23,2.26.23,No,18,HET,Female,P2,B,True,,Ipsilateral,1565740,28.303,0,255,44315425,44315425,17.47125,16959990.025,10.83175
2.22.23_P2_D,2.22.23,2.26.23,No,13,WT,Male,P2,D,True,,Background_1,20484,34.578,0,208,708299,708299,35.2385,,
2.22.23_P2_D,2.22.23,2.26.23,No,13,WT,Male,P2,D,True,,Background_2,9612,34.203,0,150,328757,328757,35.2385,,
2.22.23_P2_D,2.22.23,2.26.23,No,13,WT,Male,P2,D,True,,Background_3,15552,35.594,0,181,553563,553563,35.2385,,
2.22.23_P2_D,2.22.23,2.26.23,No,13,WT,Male,P2,D,True,,Background_4,11272,36.579,0,179,412324,412324,35.2385,,
2.22.23_P2_D,2.22.23,2.26.23,No,13,WT,Male,P2,D,True,,Contralateral,1058421,97.172,0,255,102848515,102848515,35.2385,65551346.5915,61.9335
2.22.23_P2_D,2.22.23,2.26.23,No,13,WT,Male,P2,D,True,,Ipsilateral,1002468,51.31,0,255,51436708,51436708,35.2385,16111239.382,16.0715
2.22.23_P2_E,2.22.23,2.26.23,No,37,MUT,Female,P2,E,True,,Background_1,9044,30.203,0,125,273154,273154,29.41925,,
2.22.23_P2_E,2.22.23,2.26.23,No,37,MUT,Female,P2,E,True,,Background_2,10216,29.849,0,244,304934,304934,29.41925,,
2.22.23_P2_E,2.22.23,2.26.23,No,37,MUT,Female,P2,E,True,,Background_3,8476,32.138,0,255,272405,272405,29.41925,,
2.22.23_P2_E,2.22.23,2.26.23,No,37,MUT,Female,P2,E,True,,Background_4,10184,25.487,0,132,259562,259562,29.41925,,
2.22.23_P2_E,2.22.23,2.26.23,No,37,MUT,Female,P2,E,True,,Contralateral,1695147,79.448,0,255,134675624,134675624,29.41925,84805670.62025,50.02875
2.22.23_P2_E,2.22.23,2.26.23,No,37,MUT,Female,P2,E,True,,Ipsilateral,1333346,58.058,0,255,77410873,77410873,29.41925,38184833.6895,28.63875
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,True,,Background_1,12492,38.405,0,150,479756,479756,41.15725,,
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,True,,Background_2,12452,44.387,0,255,552706,552706,41.15725,,
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,True,,Background_3,11872,40.029,0,207,475221,475221,41.15725,,
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,True,,Background_4,10756,41.808,0,192,449685,449685,41.15725,,
2.22.23_P3_C,2.22.23,2.26.23,Yes,11,HET,Male,P3,C,True,,Contralateral,1014870,131.365,0,255,133318005,133318005,41.15725,91548746.6925,90.20775
2.22.23_P3_C,2.22.23,2.26.23,No,11,HET,Male,P3,C,True,,Ipsilateral,1251345,104.146,0,255,130322140,130322140,41.15725,78820220.99875,62.98875
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,True,,Background_1,59592,24.888,0,255,1483132,1483132,22.47525,,
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,True,,Background_2,59592,23.039,0,187,1372961,1372961,22.47525,,
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,True,,Background_3,59592,23.325,0,233,1390007,1390007,22.47525,,
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,True,,Background_4,59592,18.649,0,187,1111331,1111331,22.47525,,
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,True,,Contralateral,1770837,73.409,0,255,129995725,129995725,22.47525,90195720.71575,50.93375
2.6.23_P1_A,2.6.23,2.12.23,No,25,WT,Female,P1,A,True,,Ipsilateral,1467444,65.15,0,255,95604554,95604554,22.47525,62623383.239,42.67475
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,True,,Background_1,73412,14.059,0,255,1032121,1032121,13.31025,,
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,True,,Background_2,73412,12.75,0,255,936034,936034,13.31025,,
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,True,,Background_3,73412,12.725,0,216,934167,934167,13.31025,,
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,True,,Background_4,73412,13.707,0,255,1006261,1006261,13.31025,,
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,True,,Contralateral,1533525,53.447,0,255,81961742,81961742,13.31025,61550140.86875,40.13675
2.6.23_P1_C,2.6.23,2.12.23,No,35,MUT,Female,P1,C,True,,Ipsilateral,1168749,46.283,0,255,54093774,54093774,13.31025,38537432.62275,32.97275
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,True,,Background_1,41556,18.994,0,152,789297,789297,18.59425,,
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,True,,Background_2,41556,18.41,0,194,765037,765037,18.59425,,
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,True,,Background_3,41556,18.424,0,117,765619,765619,18.59425,,
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,True,,Background_4,41556,18.549,0,229,770804,770804,18.59425,,
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,True,,Contralateral,990290,47.306,0,255,46846507,46846507,18.59425,28432807.1675,28.71175
2.6.23_P1_D,2.6.23,2.12.23,No,11,HET,Male,P1,D,True,,Ipsilateral,837358,27.658,0,255,23159873,23159873,18.59425,7589829.0085,9.06375
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,True,,Background_1,48304,29.253,0,158,1413044,1413044,28.1025,,
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,True,,Background_2,48304,27.276,0,255,1317563,1317563,28.1025,,
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,True,,Background_3,48304,29.116,0,192,1406424,1406424,28.1025,,
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,True,,Background_4,48304,26.765,0,169,1292839,1292839,28.1025,,
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,True,,Contralateral,1314198,93.677,0,255,123109892,123109892,28.1025,86177642.705,65.5745
2.6.23_P2_A,2.6.23,2.15.23,No,13,WT,Male,P2,A,True,,Ipsilateral,833780,72.136,0,255,60145410,60145410,28.1025,36714107.55,44.0335
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,True,,Background_1,43012,18.007,0,205,774518,774518,17.958,,
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,True,,Background_2,43012,16.948,0,154,728955,728955,17.958,,
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,True,,Background_3,43012,18.806,0,125,808882,808882,17.958,,
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,True,,Background_4,43012,18.071,0,130,777285,777285,17.958,,
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,True,,Contralateral,873852,61.123,0,255,53412038,53412038,17.958,37719403.784,43.165
2.6.23_P2_C,2.6.23,2.20.23,No,11,HET,Male,P2,C,True,,Ipsilateral,824104,32.89,0,255,27104421,27104421,17.958,12305161.368,14.932
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,True,,Background_1,58972,26.174,0,206,1543529,1543529,28.59025,,
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,True,,Background_2,58972,29.519,0,149,1740798,1740798,28.59025,,
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,True,,Background_3,58972,23.291,0,209,1373497,1373497,28.59025,,
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,True,,Background_4,58972,35.377,0,231,2086227,2086227,28.59025,,
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,True,,Contralateral,1407982,95.312,0,255,134197590,134197590,28.59025,93943032.6245,66.72175
2.6.23_P2_D,2.6.23,2.15.23,No,21,MUT,Male,P2,D,True,,Ipsilateral,1207940,51.862,0,255,62645604,62645604,28.59025,28110297.415,23.27175
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,True,,Background_1,104860,9.775,0,255,1025031,1025031,10.3325,,
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,True,,Background_2,104860,9.883,0,255,1036344,1036344,10.3325,,
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,True,,Background_3,104860,10.801,0,255,1132563,1132563,10.3325,,
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,True,,Background_4,104860,10.871,0,255,1139947,1139947,10.3325,,
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,True,,Contralateral,1438748,34.559,0,255,49722184,49722184,10.3325,34856320.29,24.2265
2.9.23_P3_B,2.9.23,2.15.23,No,19,WT,Female,P3,B,True,,Ipsilateral,1150158,24.149,0,255,27774771,27774771,10.3325,15890763.465,13.8165
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,True,,Background_1,65140,11.297,0,153,735903,735903,11.53475,,
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,True,,Background_2,65140,8.414,0,109,548074,548074,11.53475,,
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,True,,Background_3,65140,13.249,0,255,863017,863017,11.53475,,
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,True,,Background_4,65140,13.179,0,255,858484,858484,11.53475,,
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,True,,Contralateral,1403554,35.522,0,255,49857462,49857462,11.53475,33667817.4985,23.98725
2.9.23_P3_C,2.9.23,2.20.23,No,16,HET,Male,P3,C,True,,Ipsilateral,1552578,21.525,0,255,33419119,33419119,11.53475,15510519.9145,9.99025
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,True,,Background_1,46160,25.489,0,182,1176581,1176581,22.1795,,
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,True,,Background_1,9612,24.48,0,130,235298,235298,22.1795,,
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,True,,Background_2,46160,22.467,0,178,1037089,1037089,22.1795,,
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,True,,Background_2,13004,20.573,0,146,267527,267527,22.1795,,
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,True,,Background_3,46160,20.731,0,168,956955,956955,22.1795,,
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,True,,Background_3,11272,21.683,0,104,244415,244415,22.1795,,
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,True,,Background_4,46160,19.813,0,202,914547,914547,22.1795,,
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,True,,Background_4,13004,22.2,0,124,288684,288684,22.1795,,
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,True,,Contralateral,1382314,71.252,0,255,98492340,98492340,22.1795,67833306.637,49.0725
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,True,,Contralateral,1370280,71.79,0,255,98372095,98372095,22.1795,67979969.74,49.6105
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,True,,Ipsilateral,1157960,39.18,0,255,45368749,45368749,22.1795,19685775.18,17.0005
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,True,,Ipsilateral,1195794,40.798,0,255,48785731,48785731,22.1795,22263617.977,18.6185
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,True,,Background_1,9044,14.344,0,91,129728,129728,16.23475,,
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,True,,Background_2,6336,17.124,0,109,108497,108497,16.23475,,
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,True,,Background_3,11064,15.934,0,130,176297,176297,16.23475,,
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,True,,Background_4,8184,17.537,0,109,143519,143519,16.23475,,
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,True,,Contralateral,1694781,49.674,0,255,84187184,84187184,16.23475,56672838.16025,33.43925
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,True,,Ipsilateral,1765386,28.211,0,255,49803487,49803487,16.23475,21142886.6365,11.97625
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,True,,Background_1,9676,16.591,0,98,160533,160533,16.717,,
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,True,,Background_2,8920,16.411,0,151,146389,146389,16.717,,
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,True,,Background_3,9516,16.113,0,90,153329,153329,16.717,,
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,True,,Background_4,7696,17.753,0,95,136624,136624,16.717,,
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,True,,Contralateral,1204974,36.294,0,255,43733590,43733590,16.717,23590039.642,19.577
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,True,,Ipsilateral,1067061,37.364,0,255,39869194,39869194,16.717,22031135.263,20.647
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,True,,Background_1,17196,16.036,0,114,275751,275751,16.137,,
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,True,,Background_2,17196,18.25,0,137,313835,313835,16.137,,
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,True,,Background_3,17196,18.147,0,110,312063,312063,16.137,,
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,True,,Background_4,14536,12.115,0,82,176108,176108,16.137,,
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,True,,Contralateral,1074264,30.016,0,255,32245190,32245190,16.137,14909791.832,13.879
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,True,,Ipsilateral,1080618,29.712,0,255,32107696,32107696,16.137,14669763.334,13.575
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,True,,Background_1,6636,21.07,0,104,139821,139821,17.4795,,
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,True,,Background_2,8392,13.887,0,119,116543,116543,17.4795,,
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,True,,Background_3,6336,17.444,0,181,110527,110527,17.4795,,
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,True,,Background_4,5272,17.517,0,140,92347,92347,17.4795,,
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,True,,Contralateral,1139478,38.13,0,255,43448199,43448199,17.4795,23530693.299,20.6505
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,True,,Ipsilateral,1134318,30.183,0,255,34237056,34237056,17.4795,14409744.519,12.7035
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,True,,Background_1,7356,17.794,0,127,130893,130893,20.46525,,
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,True,,Background_2,9152,19.964,0,115,182707,182707,20.46525,,
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,True,,Background_3,10692,28.07,0,142,300125,300125,20.46525,,
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,True,,Background_4,6732,16.033,0,86,107934,107934,20.46525,,
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,True,,Contralateral,1207179,36.586,0,255,44165524,44165524,20.46525,19460303.97025,16.12075
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,True,,Ipsilateral,1312107,30.952,0,255,40612712,40612712,20.46525,13760114.21825,10.48675
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,True,,Background_1,8184,10.995,0,106,89981,89981,21.19025,,
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,True,,Background_2,14840,17.558,0,163,260564,260564,21.19025,,
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,True,,Background_3,9176,26.781,0,188,245741,245741,21.19025,,
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,True,,Background_4,8652,29.427,0,193,254603,254603,21.19025,,
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,True,,Contralateral,1216710,45.317,0,255,55137353,55137353,21.19025,29354963.9225,24.12675
5.15.23_P1_E,5.15.23,6.12.23,No,1908,HET,Female,P1,E,True,,Ipsilateral,1408224,31.662,0,255,44587189,44587189,21.19025,14746570.384,10.47175
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,True,,Background_1,8604,17.017,0,113,146418,146418,14.45025,,
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,True,,Background_2,8652,12.779,0,70,110568,110568,14.45025,,
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,True,,Background_3,11204,13.577,0,102,152117,152117,14.45025,,
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,True,,Background_4,12492,14.428,0,86,180231,180231,14.45025,,
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,True,,Contralateral,1353993,35.106,0,255,47533432,47533432,14.45025,27967894.65175,20.65575
5.15.23_P2_C,5.15.23,6.12.23,No,1904,MUT,Male,P2,C,True,,Ipsilateral,1221333,33.12,0,255,40450763,40450763,14.45025,22802195.81675,18.66975
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,True,,Background_1,9044,10.058,0,96,90965,90965,10.18925,,
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,True,,Background_2,9044,10.695,0,103,96725,96725,10.18925,,
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,True,,Background_3,9044,10.702,0,105,96789,96789,10.18925,,
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,True,,Background_4,8652,9.302,0,78,80482,80482,10.18925,,
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,True,,Contralateral,1505190,26.453,0,255,39816749,39816749,10.18925,24479991.7925,16.26375
5.15.23_P2_D,5.15.23,5.17.23,No,1904,MUT,Male,P2,D,True,,Ipsilateral,1325007,25.798,0,255,34182061,34182061,10.18925,20681233.42525,15.60875
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,True,,Background_1,7696,21.133,0,169,162638,162638,15.09075,,
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,True,,Background_2,7652,11.531,0,82,88235,88235,15.09075,,
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,True,,Background_3,7696,11.73,0,108,90273,90273,15.09075,,
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,True,,Background_4,6108,15.969,0,112,97539,97539,15.09075,,
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,True,,Contralateral,1255131,30.991,0,255,38898303,38898303,15.09075,19957434.86175,15.90025
5.15.23_P2_E,5.15.23,6.11.23,No,1938,HET,Male,P2,E,True,,Ipsilateral,1182846,32.185,0,255,38070310,38070310,15.09075,20220276.7255,17.09425
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,True,,Background_1,6788,23.319,0,135,158289,158289,20.3975,,
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,True,,Background_2,11304,21.277,0,123,240519,240519,20.3975,,
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,True,,Background_3,8652,22.088,0,170,191103,191103,20.3975,,
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,True,,Background_4,6252,14.906,0,95,93191,93191,20.3975,,
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,True,,Contralateral,1161009,41.407,0,255,48073798,48073798,20.3975,24392116.9225,21.0095
5.15.23_P2_F,5.15.23,6.11.23,No,1938,HET,Male,P2,F,True,,Ipsilateral,1084266,39.627,0,255,42965994,42965994,20.3975,20849678.265,19.2295
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,True,,Background_1,7200,13.534,0,166,97445,97445,11.19825,,
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,True,,Background_2,13004,11.051,0,104,143711,143711,11.19825,,
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,True,,Background_3,9676,9.708,0,90,93936,93936,11.19825,,
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,True,,Background_4,7520,10.5,0,79,78957,78957,11.19825,,
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,True,,Contralateral,1667841,29.996,0,255,50028424,50028424,11.19825,31351523.52175,18.79775
5.17.23_P3_A,5.17.23,5.31.23,No,1917,MUT,Female,P3,A,True,,Ipsilateral,1336585,16.131,0,255,21560217,21560217,11.19825,6592804.02375,4.93275
