Merged_ID,Date of Experiment_Day_1,Date_Imaged,"Plate (P1, P2, etc.)","Section (A,B,C,D,E,F)",Exclude,Comments,Category,Slice ,Count,Total Area,Average Size,%Area,Mean,IntDen,Optimal_Threshold,Repeated_if_failed,Particle_Size,Threshold,MouseID,Genotype,Sex
2.22.23_P2_D,2.22.23,2.26.23,P2,D,NO,100 threshold,Contralateral,P2_D_22223_Rb_pS129_Stitch-1.tif,229,517,2.258,0.048,255,575.699,YES,,1-10,100,21,MUT,Male
2.22.23_P2_D,2.22.23,2.26.23,P2,D,NO,100 threshold,Ipsilateral,P2_D_22223_Rb_pS129_Stitch-1.tif,2473,15493,6.265,1.455,255,1597.539,YES,,0-Inf,100,21,MUT,Male
2.22.23_P2_D,2.22.23,2.26.23,P2,D,NO,100 threshold,Contralateral,P2_D_22223_Rb_pS129_Stitch-1.tif,257,912,3.549,0.084,255,904.903,YES,,0-Inf,100,21,MUT,Male
2.22.23_P2_D,2.22.23,2.26.23,P2,D,NO,100 threshold,Ipsilateral,P2_D_22223_Rb_pS129_Stitch-1.tif,918,6142,6.691,0.577,255,1706.111,YES,,3.5-10,100,21,MUT,Male
2.22.23_P2_D,2.22.23,2.26.23,P2,D,NO,100 threshold,Contralateral,P2_D_22223_Rb_pS129_Stitch-1.tif,46,302,6.565,0.028,255,1674.13,YES,,3.5-10,100,21,MUT,Male
2.2.23_P4_D,2.2.23,2.6.23,P4,D,NO,,Contralateral,P4_D_2223_Rb_pS129_Stitch.tif,144,944,6.556,0.065,255,1671.667,YES,,3.5-10,70,21,MUT,Male
2.2.23_P4_D,2.2.23,2.6.23,P4,D,NO,,Ipsilateral,P4_D_2223_Rb_pS129_Stitch.tif,600,4134,6.89,0.357,255,1756.95,YES,,3.5-10,70,21,MUT,Male
2.2.23_P5_A,2.2.23,2.6.23,P5,A,NO,,Ipsilateral ,P5_A_2223_Rb_pS129_Stitch.tif,976,6573,6.735,0.463,255,1717.331,YES,,3.5-10,70,15,MUT,Male
2.2.23_P5_A,2.2.23,2.6.23,P5,A,NO,,Contralateral ,P5_A_2223_Rb_pS129_Stitch.tif,172,1170,6.802,0.075,255,1734.593,YES,,3.5-10,70,15,MUT,Male
5.9.23_P1_A,5.9.23,5.11.23,P1,A,NO,70 maybe too permissive,Ipsilateral,P1_A_5.9.23_Rb_pS129_Stitch.tif,552,3706,6.714,0.249,255,1712.011,NO,,3.5-10,70,1921,MUT,Female
5.9.23_P1_A,5.9.23,5.11.23,P1,A,NO,70 maybe too permissive,Contralateral,P1_A_5.9.23_Rb_pS129_Stitch.tif,183,1117,6.104,0.077,255,1556.475,NO,,3.5-10,70,1921,MUT,Female
5.2.23_P1_C,5.2.23,5.12.23,P1,C,NO,70,Ipsilateral,P1_C_5.2.23_Rb_pS129_Stitch.tif,1061,6846,6.452,0.5,255,1645.363,YES,,3.5-10,70,1907,HET,Female
5.2.23_P1_C,5.2.23,5.12.23,P1,C,NO,70,Contralateral,P1_C_5.2.23_Rb_pS129_Stitch.tif,114,685,6.009,0.049,255,1532.237,YES,,3.5-10,70,1907,HET,Female
5.2.23_P1_D,5.2.23,5.12.23,P1,D,NO,70,Ipsilateral,P1_D_5.2.23_Rb_pS129_Stitch.tif,556,3222,5.795,0.23,255,1477.716,YES,,3.5-10,70,1907,HET,Female
5.2.23_P1_D,5.2.23,5.12.23,P1,D,NO,70,Contralateral,P1_D_5.2.23_Rb_pS129_Stitch.tif,50,279,5.58,0.02,255,1422.9,YES,,3.5-10,70,1907,HET,Female
5.2.23_P1_E,5.2.23,5.12.23,P1,E,NO,70,Ipsilateral,P1_E_5.2.23_Rb_pS129_Stitch.tif,1244,8467,6.806,0.646,255,1735.599,YES,,3.5-10,70,1921,MUT,Female
5.2.23_P1_E,5.2.23,5.12.23,P1,E,NO,70,Contralateral,P1_E_5.2.23_Rb_pS129_Stitch.tif,63,413,6.556,0.029,255,1671.667,YES,,3.5-10,70,1921,MUT,Female
5.9.23_P1_B,5.9.23,5.12.23,P1,B,YES,Exclude- AB may not have been added,Ipsilateral,P1_B_5.9.23_Rb_pS129_Stitch.tif,42,220,5.238,0.017,255,1335.714,NO,,3.5-10,70,1921,MUT,Female
5.9.23_P1_B,5.9.23,5.12.23,P1,B,YES,Exclude- AB may not have been added,Contralateral,P1_B_5.9.23_Rb_pS129_Stitch.tif,16,92,5.75,0.006,255,1466.25,NO,,3.5-10,70,1921,MUT,Female
5.9.23_P1_C,5.9.23,5.12.23,P1,C,NO,70,Ipsilateral,P1_C_5.9.23_Rb_pS129_Stitch.tif,868,5344,6.157,0.394,255,1569.954,YES,,3.5-10,70,1907,HET,Female
5.9.23_P1_C,5.9.23,5.12.23,P1,C,NO,70,Contralateral,P1_C_5.9.23_Rb_pS129_Stitch.tif,98,553,5.643,0.037,255,1438.929,YES,,3.5-10,70,1907,HET,Female
5.9.23_P1_D,5.9.23,5.12.23,P1,D,NO,70,Ipsilateral,P1_D_5.9.23_Rb_pS129_Stitch.tif,5,27,5.4,0.002,255,1377,YES,,3.5-10,70,1907,HET,Female
5.9.23_P1_D,5.9.23,5.12.23,P1,D,NO,70,Contralateral,P1_D_5.9.23_Rb_pS129_Stitch.tif,0,0,NaN,0,NaN,NaN,YES,,3.5-10,70,1907,HET,Female
5.15.23_P1_B,5.15.23,5.17.23,P1,B,NO,70,Ipsilateral,P1_B_515.23_Rb_pS129_Stitch.tif,600,3823,6.372,0.388,255,1624.775,YES,,3.5-10,70,1920,WT,Female
5.15.23_P1_B,5.15.23,5.17.23,P1,B,NO,70,Contralateral,P1_B_515.23_Rb_pS129_Stitch.tif,31,202,6.516,0.02,255,1661.613,YES,,3.5-10,70,1920,WT,Female
5.15.23_P2_D,5.15.23,5.17.23,P2,D,NO,70,Ipsilateral,P2_D_515.23_Rb_pS129_Stitch.tif,255,1665,6.529,0.125,255,1665,YES,,3.5-10,70,1904,MUT,Male
5.15.23_P2_D,5.15.23,5.17.23,P2,D,NO,70,Contralateral,P2_D_515.23_Rb_pS129_Stitch.tif,61,376,6.164,0.025,255,1571.803,YES,,3.5-10,70,1904,MUT,Male
5.17.23_P4_A,5.17.23,5.19.23,P4,A,NO,70,Ipsilateral ,P4_A_5.17.23_Rb_pS129_Stitch.tif,303,2110,6.964,0.185,255,1775.743,YES,,3.5-10,70,1941,WT,Female
5.17.23_P4_A,5.17.23,5.19.23,P4,A,NO,70,Contralateral ,P4_A_5.17.23_Rb_pS129_Stitch.tif,52,336,6.462,0.037,255,1647.692,YES,,3.5-10,70,1941,WT,Female
5.17.23_P4_B,5.17.23,5.19.23,P4,B,NO,70,Ipsilateral ,P4_B_5.17.23_Rb_pS129_Stitch.tif,316,2196,6.949,0.157,255,1772.089,YES,,3.5-10,70,1941,WT,Female
5.17.23_P4_B,5.17.23,5.19.23,P4,B,NO,70,Contralateral ,P4_B_5.17.23_Rb_pS129_Stitch.tif,38,242,6.368,0.02,255,1623.947,YES,,3.5-10,70,1941,WT,Female
5.17.23_P4_C,5.17.23,5.19.23,P4,C,NO,70,Ipsilateral,P4_C_5.17.23_Rb_pS129_Stitch.tif,522,3725,7.136,0.334,255,1819.684,YES,,3.5-10,70,1914,WT,Male
5.17.23_P4_C,5.17.23,5.19.23,P4,C,NO,70,Contralateral,P4_C_5.17.23_Rb_pS129_Stitch.tif,29,188,6.483,0.014,255,1653.103,YES,,3.5-10,70,1914,WT,Male
5.17.23_P4_D,5.17.23,5.19.23,P4,D,NO,70,Ipsilateral,P4_D_5.17.23_Rb_pS129_Stitch.tif,466,3270,7.017,0.344,255,1789.378,YES,,3.5-10,70,1914,WT,Male
5.17.23_P4_D,5.17.23,5.19.23,P4,D,NO,70,Contralateral,P4_D_5.17.23_Rb_pS129_Stitch.tif,43,307,7.14,0.026,255,1820.581,YES,,3.5-10,70,1914,WT,Male
5.2.23_P1_B,5.2.23,5.19.23,P1,B,YES,70,Ipsilateral ,P1_B_5.2.23_Rb_pS129_Stitch.tif,24,121,5.042,0.012,255,1285.625,EXCLUDE,EXCLUDE,3.5-10,70,27,WT,Female
5.2.23_P1_B,5.2.23,5.19.23,P1,B,YES,70,Contralateral ,P1_B_5.2.23_Rb_pS129_Stitch.tif,5,36,7.2,0.003,255,1836,EXCLUDE,EXCLUDE,3.5-10,70,27,WT,Female
5.2.23_P1_F,5.2.23,5.19.23,P1,F,NO,70,Ipsilateral ,P1_F_5.2.23_Rb_pSer_Stitch.tif,951,6516,6.852,0.588,255,1747.192,YES,,3.5-10,70,1921,MUT,Female
5.2.23_P1_F,5.2.23,5.19.23,P1,F,NO,70,Contralateral ,P1_F_5.2.23_Rb_pSer_Stitch.tif,38,270,7.105,0.022,255,1811.842,YES,,3.5-10,70,1921,MUT,Female
5.17.23_P3_A,5.17.23,5.31.23,P3,A,NO,70,Ipsilateral,P4_C_5.17.23_Rb_pS129_Stitch.tif,569,4070,7.153,0.37,255,1823.989,YES,,3.5-10,70,1917,MUT,Female
5.17.23_P3_A,5.17.23,5.31.23,P3,A,NO,70,Contralateral,P4_C_5.17.23_Rb_pS129_Stitch.tif,31,201,6.484,0.016,255,1653.387,YES,,3.5-10,70,1917,MUT,Female
5.17.23_P4_E,5.17.23,5.31.23,P4,E,NO,70,Ipsilateral,P4_E_5.17.23_Rb_pS129_Stitch.tif,969,6757,6.973,0.563,255,1778.158,YES,,3.5-10,70,1944,MUT,Male
5.17.23_P4_E,5.17.23,5.31.23,P4,E,NO,70,Contralateral,P4_E_5.17.23_Rb_pS129_Stitch.tif,48,328,6.833,0.028,255,1742.5,YES,,3.5-10,70,1944,MUT,Male
5.17.23_P4_F,5.17.23,5.31.23,P4,F,NO,70,Ipsilateral,P4_F_5.17.23_Rb_pS129_Stitch.tif,976,6768,6.934,0.464,255,1768.279,YES,,3.5-10,70,1944,MUT,Male
5.17.23_P4_F,5.17.23,5.31.23,P4,F,NO,70,Contralateral,P4_F_5.17.23_Rb_pS129_Stitch.tif,59,380,6.441,0.03,255,1642.373,YES,,3.5-10,70,1944,MUT,Male
5.15.23_P1_C,5.15.23,6.11.23,P1,C,NO,70,Ipsilateral,P1_C_5.15.23_Rb_pS129_right_Stitch.tif,627,4322,6.893,0.34,255,1757.751,YES,,3.5-10,70,1913,MUT,Male
5.15.23_P1_C,5.15.23,6.11.23,P1,C,NO,70,Contralateral,P1_C_5.15.23_Rb_pS129_left_Stitch.tif,49,315,6.429,0.027,255,1639.286,YES,,3.5-10,70,1913,MUT,Male
5.15.23_P1_D,5.15.23,6.11.23,P1,D,NO,70,Ipsilateral,P1_D_5.15.23_Rb_pS129_Stitch.tif,627,4315,6.882,0.275,255,1754.904,YES,,3.5-10,70,1913,MUT,Male
5.15.23_P1_D,5.15.23,6.11.23,P1,D,NO,70,Contralateral,P1_D_5.15.23_Rb_pS129_Stitch.tif,58,406,7,0.031,255,1785,YES,,3.5-10,70,1913,MUT,Male
5.15.23_P2_E,5.15.23,6.11.23,P2,E,NO,70,Ipsilateral,P2_E_5.15.23_Rb_pS129_Stitch.tif,293,1749,5.969,0.145,255,1522.167,YES,,3.5-10,70,1938,HET,Male
5.15.23_P2_E,5.15.23,6.11.23,P2,E,NO,70,Contralateral,P2_E_5.15.23_Rb_pS129_Stitch.tif,24,142,5.917,0.011,255,1508.75,YES,,3.5-10,70,1938,HET,Male
5.15.23_P2_F,5.15.23,6.11.23,P2,F,NO,70,Ipsilateral,P2_F_5.15.23_Rb_pS129_Stitch.tif,438,2705,6.176,0.22,255,1574.829,YES,,3.5-10,70,1938,HET,Male
5.15.23_P2_F,5.15.23,6.11.23,P2,F,NO,70,Contralateral,P2_F_5.15.23_Rb_pS129_Stitch.tif,32,217,6.781,0.019,255,1729.219,YES,,3.5-10,70,1938,HET,Male
6.5.23_P2_A,6.5.23,6.11.23,P2,A,NO,70 threshold maybe too permissive,Ipsilateral,P2_A_6.5.23_Rb_pS129_Stitch.tif,698,4483,6.423,0.272,255,1637.772,NO,,3.5-10,70,1914,WT,Male
6.5.23_P2_A,6.5.23,6.11.23,P2,A,NO,70 threshold maybe too permissive,Contralateral,P2_A_6.5.23_Rb_pS129_Stitch.tif,420,2290,5.452,0.118,255,1390.357,NO,,3.5-10,70,1914,WT,Male
6.5.23_P2_B,6.5.23,6.11.23,P2,B,NO,70 threshold maybe too permissive,Ipsilateral,P2_B_6.5.23_Rb_pS129_Stitch.tif,550,3440,6.255,0.253,255,1594.909,NO,,3.5-10,70,1914,WT,Male
6.5.23_P2_B,6.5.23,6.11.23,P2,B,NO,70 threshold maybe too permissive,Contralateral,P2_B_6.5.23_Rb_pS129_Stitch.tif,100,586,5.86,0.044,255,1494.3,NO,,3.5-10,70,1914,WT,Male
6.5.23_P2_D,6.5.23,6.11.23,P2,D,NO,70 threshold maybe too permissive,Ipsilateral,P2_D_6.5.23_Rb_pS129_Stitch.tif,140,908,6.486,0.069,255,1653.857,NO,,3.5-10,70,35,MUT,Female
6.5.23_P2_D,6.5.23,6.11.23,P2,D,NO,70 threshold maybe too permissive,Contralateral,P2_D_6.5.23_Rb_pS129_Stitch.tif,73,430,5.89,0.027,255,1502.055,NO,,3.5-10,70,35,MUT,Female
5.15.23_P1_E,5.15.23,6.12.23,P1,E,NO,70,Ipsilateral,P1_E_5.15.23_Rb_pS129_left_Stitch.tif,1192,8082,6.78,0.49,255,1728.951,YES,,3.5-10,70,1908,HET,Female
5.15.23_P1_E,5.15.23,6.12.23,P1,E,NO,70,Contralateral,P1_E_5.15.23_Rb_pS129_right_Stitch.tif,55,374,6.8,0.03,255,1734,YES,,3.5-10,70,1908,HET,Female
5.15.23_P2_C,5.15.23,6.12.23,P2,C,NO,70,Ipsilateral,P2_C_5.15.23_Rb_pS129_Stitch.tif,476,3193,6.708,0.261,255,1710.536,YES,,3.5-10,70,1904,MUT,Male
5.15.23_P2_C,5.15.23,6.12.23,P2,C,NO,70,Contralateral,P2_C_5.15.23_Rb_pS129_Stitch.tif,80,497,6.213,0.035,255,1584.188,YES,,3.5-10,70,1904,MUT,Male
5.17.23_P3_B,5.17.23,6.2.23,P3,B,NO,70,Ipsilateral,P3_B_5.17.23_Rb_pS129_Stitch.tif,285,2005,7.035,0.236,255,1793.947,YES,,3.5-10,70,1917,MUT,Female
5.17.23_P3_B,5.17.23,6.2.23,P3,B,NO,70,Contralateral,P3_B_5.17.23_Rb_pS129_Stitch.tif,70,488,6.971,0.038,255,1777.714,YES,,3.5-10,70,1917,MUT,Female
5.17.23_P3_C,5.17.23,6.2.23,P3,C,NO,70,Ipsilateral,P3_C_5.17.23_Rb_pS129_Stitch.tif,209,1425,6.818,0.177,255,1738.636,YES,,3.5-10,70,17,WT,Female
5.17.23_P3_C,5.17.23,6.2.23,P3,C,NO,70,Contralateral,P3_C_5.17.23_Rb_pS129_left_side_Stitch.tif,63,443,7.032,0.042,255,1793.095,YES,,3.5-10,70,17,WT,Female
6.19.23_P1_B,6.19.23,6.21.23,P1,B,NO,70,Ipsilateral,P1_B_619.23_Rb_pS129_Stitch.tif,638,4413,6.917,0.345,255,1763.817,YES,,3.5-10,70,1906,WT,Male
6.19.23_P1_B,6.19.23,6.21.23,P1,B,NO,70,Contralateral,P1_B_619.23_Rb_pS129_Stitch.tif,96,623,6.49,0.047,255,1654.844,YES,,3.5-10,70,1906,WT,Male
6.19.23_P1_F,6.19.23,6.21.23,P1,F,NO,70,Ipsilateral,P1_F_619.23_Rb_pS129_Stitch.tif,243,1686,6.938,0.137,255,1769.259,YES,,3.5-10,70,1904,MUT,Male
6.19.23_P1_F,6.19.23,6.21.23,P1,F,NO,70,Contralateral,P1_F_619.23_Rb_pS129_Stitch.tif,80,561,7.013,0.04,255,1788.188,YES,,3.5-10,70,1904,MUT,Male
6.5.23_P1_B,6.5.23,6.8.23,P1,B,NO,70 threshold picks up too much,Ipsilateral,P1_B_6.5.23_Rb_pS129_Stitch.tif,332,2217,6.678,0.21,255,1702.816,NO,YES,3.5-10,70,1920,WT,Female
6.5.23_P1_B,6.5.23,6.8.23,P1,B,NO,70 threshold picks up too much,Contralateral,P1_B_6.5.23_Rb_pS129_Stitch.tif,60,367,6.117,0.026,255,1559.75,NO,YES,3.5-10,70,1920,WT,Female
6.5.23_P1_B,6.5.23,6.8.23,P1,B,NO,100 threshold,Ipsilateral,P1_B_6.5.23_Rb_pS129_Stitch.tif,1237,3910,3.161,0.349,255,806.023,YES,,1-10,100,1920,WT,Female
6.5.23_P1_B,6.5.23,6.8.23,P1,B,NO,100 threshold,Contralateral,P1_B_6.5.23_Rb_pS129_Stitch.tif,436,795,1.823,0.055,255,464.966,YES,,1-10,100,1920,WT,Female
6.5.23_P1_B,6.5.23,6.8.23,P1,B,NO,100 threshold,Ipsilateral,P1_B_6.5.23_Rb_pS129_Stitch.tif,1788,13625,7.62,1.214,255,1943.163,YES,,0-Inf,100,1920,WT,Female
6.5.23_P1_B,6.5.23,6.8.23,P1,B,NO,100 threshold,Contralateral,P1_B_6.5.23_Rb_pS129_Stitch.tif,524,2280,4.351,0.158,255,1109.542,YES,,0-Inf,100,1920,WT,Female
6.5.23_P1_B,6.5.23,6.8.23,P1,B,NO,100 threshold,Ipsilateral,P1_B_6.5.23_Rb_pS129_Stitch.tif,399,2744,6.877,0.245,255,1753.684,YES,,3.5-10,100,1920,WT,Female
6.5.23_P1_B,6.5.23,6.8.23,P1,B,NO,100 threshold,Contralateral,P1_B_6.5.23_Rb_pS129_Stitch.tif,51,340,6.667,0.024,255,1700,YES,,3.5-10,100,1920,WT,Female
5.15.23_P1_A,5.15.23,6.9.23,P1,A,NO,70,Ipsilateral,P1_5.15.23_A_Rb_pS129_Stitch.tif,833,5475,6.573,0.482,255,1676.02,YES,,3.5-10,70,1920,WT,Female
