Merged_ID,Date of Experiment_Day_1,Date_Imaged,Date_Imaged_GFAP,MouseID,Genotype,Sex,Plate (X of X for the week),"Section (A,B,C,D,E,F)",Category,Slice ,Count,Total Area,Average Size,%Area,Mean,IntDen,Particle_Size,Threshold,EXCLUDE
5.2.23_P1_C,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Ipsilateral,P1_C_5.2.23_Ms_GFAP_Stitch-1.tif,422,667,1.581,0.082,255,403.045,1-10,70,NO
5.2.23_P1_C,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Ipsilateral,P1_C_5.2.23_Ms_GFAP_Stitch-1.tif,28,157,5.607,0.019,255,1429.821,3.5-10,70,NO
5.2.23_P1_D,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Contralateral,P1_D_5.2.23_Ms_GFAP_Stitch.tif,123,124,1.008,0.011,255,257.073,0-Inf,70,NO
5.2.23_P1_D,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Contralateral,P1_D_5.2.23_Ms_GFAP_Stitch.tif,123,124,1.008,0.011,255,257.073,1-10,70,NO
5.2.23_P1_D,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Contralateral,P1_D_5.2.23_Ms_GFAP_Stitch.tif,0,0,NaN,0,NaN,NaN,3.5-10,70,NO
5.2.23_P1_D,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Ipsilateral,P1_D_5.2.23_Ms_GFAP_Stitch.tif,164,187,1.14,0.016,255,290.762,0-Inf,70,NO
5.2.23_P1_D,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Ipsilateral,P1_D_5.2.23_Ms_GFAP_Stitch.tif,164,187,1.14,0.016,255,290.762,1-10,70,NO
5.2.23_P1_D,5.2.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Ipsilateral,P1_D_5.2.23_Ms_GFAP_Stitch.tif,3,14,4.667,0.001,255,1190,3.5-10,70,NO
5.2.23_P1_E,5.2.23,5.12.23,5/12/23,1921,MUT,Female,P1,E,Ipsilateral,P1_E_5.2.23_Ms_GFAP_Stitch.tif,2488,3285,1.32,0.276,255,336.686,0-Inf,80,NO
5.2.23_P1_E,5.2.23,5.12.23,5/12/23,1921,MUT,Female,P1,E,Ipsilateral,P1_E_5.2.23_Ms_GFAP_Stitch.tif,2488,3285,1.32,0.276,255,336.686,1-10,80,NO
5.2.23_P1_E,5.2.23,5.12.23,5/12/23,1921,MUT,Female,P1,E,Ipsilateral,P1_E_5.2.23_Ms_GFAP_Stitch.tif,89,470,5.281,0.039,255,1346.629,3.5-10,80,NO
5.2.23_P1_E,5.2.23,5.12.23,5/12/23,1921,MUT,Female,P1,E,Contralateral,P1_E_5.2.23_Ms_GFAP_Stitch.tif,1650,2910,1.764,0.237,255,449.727,0-Inf,80,NO
5.2.23_P1_E,5.2.23,5.12.23,5/12/23,1921,MUT,Female,P1,E,Contralateral,P1_E_5.2.23_Ms_GFAP_Stitch.tif,1623,2008,1.237,0.163,255,315.49,1-10,80,NO
5.2.23_P1_E,5.2.23,5.12.23,5/12/23,1921,MUT,Female,P1,E,Contralateral,P1_E_5.2.23_Ms_GFAP_Stitch.tif,45,268,5.956,0.022,255,1518.667,3.5-10,80,NO
5.9.23_P1_B,5.9.23,5.12.23,5/12/23,1921,MUT,Female,P1,B,Ipsilateral,P1_B_5.9.23_Ms_GFAP_Stitch.tif,8792,12673,1.441,0.796,255,367.563,0-Inf,75,NO
5.9.23_P1_B,5.9.23,5.12.23,5/12/23,1921,MUT,Female,P1,B,Ipsilateral,P1_B_5.9.23_Ms_GFAP_Stitch.tif,8721,10825,1.241,0.68,255,316.52,1-10,75,NO
5.9.23_P1_B,5.9.23,5.12.23,5/12/23,1921,MUT,Female,P1,B,Ipsilateral,P1_B_5.9.23_Ms_GFAP_Stitch.tif,197,1055,5.355,0.066,255,1365.609,3.5-10,75,NO
5.9.23_P1_B,5.9.23,5.12.23,5/12/23,1921,MUT,Female,P1,B,Contralateral,P1_B_5.9.23_Ms_GFAP_Stitch.tif,5541,8387,1.514,0.571,255,385.975,0-Inf,75,NO
5.9.23_P1_B,5.9.23,5.12.23,5/12/23,1921,MUT,Female,P1,B,Contralateral,P1_B_5.9.23_Ms_GFAP_Stitch.tif,5474,6896,1.26,0.47,255,321.242,1-10,75,NO
5.9.23_P1_B,5.9.23,5.12.23,5/12/23,1921,MUT,Female,P1,B,Contralateral,P1_B_5.9.23_Ms_GFAP_Stitch.tif,164,934,5.695,0.064,255,1452.256,3.5-10,75,NO
5.9.23_P1_D,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Ipsilateral,P1_D_5.9.23_Ms_GFAP_Stitch.tif,770,1864,2.421,0.163,255,617.299,0-Inf,60,NO
5.9.23_P1_D,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Ipsilateral,P1_D_5.9.23_Ms_GFAP_Stitch.tif,737,1229,1.668,0.108,255,425.231,1-10,60,NO
5.9.23_P1_D,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Ipsilateral,P1_D_5.9.23_Ms_GFAP_Stitch.tif,69,373,5.406,0.033,255,1378.478,3.5-10,60,NO
5.9.23_P1_D,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Contralateral,P1_D_5.9.23_Ms_GFAP_Stitch.tif,465,728,1.566,0.062,255,399.226,0-Inf,60,NO
5.9.23_P1_D,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Contralateral,P1_D_5.9.23_Ms_GFAP_Stitch.tif,462,667,1.444,0.057,255,368.149,1-10,60,NO
5.9.23_P1_D,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,D,Contralateral,P1_D_5.9.23_Ms_GFAP_Stitch.tif,31,159,5.129,0.014,255,1307.903,3.5-10,60,NO
5.9.23_P1_C,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Contralateral,P1_C_5.9.23_Ms_GFAP_Stitch-1.tif,226,369,1.633,0.034,255,416.35,0-Inf,70,NO
5.9.23_P1_C,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Contralateral,P1_C_5.9.23_Ms_GFAP_Stitch-1.tif,224,322,1.438,0.03,255,366.562,1-10,70,NO
5.9.23_P1_C,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Contralateral,P1_C_5.9.23_Ms_GFAP_Stitch-1.tif,13,71,5.462,0.007,255,1392.692,3.5-10,70,NO
5.9.23_P1_C,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Ipsilateral,P1_C_5.9.23_Ms_GFAP_Stitch-1.tif,713,1654,2.32,0.131,255,591.543,0-Inf,70,NO
5.9.23_P1_C,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Ipsilateral,P1_C_5.9.23_Ms_GFAP_Stitch-1.tif,693,1178,1.7,0.093,255,433.463,1-10,70,NO
5.9.23_P1_C,5.9.23,5.12.23,5/12/23,1907,HET,Female,P1,C,Ipsilateral,P1_C_5.9.23_Ms_GFAP_Stitch-1.tif,72,395,5.486,0.031,255,1398.958,3.5-10,70,NO
5.17.23_P4_B,5.17.23,5.19.23,5/19/23,1941,WT,Female,P4,B,Contralateral,P4_B_5.17.23_Ms_GFAP_Stitch-1.tif,587,879,1.497,0.062,255,381.848,0-Inf,70,NO
5.17.23_P4_B,5.17.23,5.19.23,5/19/23,1941,WT,Female,P4,B,Contralateral,P4_B_5.17.23_Ms_GFAP_Stitch-1.tif,580,762,1.314,0.054,255,335.017,1-10,70,NO
5.17.23_P4_B,5.17.23,5.19.23,5/19/23,1941,WT,Female,P4,B,Contralateral,P4_B_5.17.23_Ms_GFAP_Stitch-1.tif,25,140,5.6,0.01,255,1428,3.5-10,70,NO
5.17.23_P4_B,5.17.23,5.19.23,5/19/23,1941,WT,Female,P4,B,Ipsilateral,P4_B_5.17.23_Ms_GFAP_Stitch-1.tif,825,1362,1.651,0.09,255,420.982,0-Inf,70,NO
5.17.23_P4_B,5.17.23,5.19.23,5/19/23,1941,WT,Female,P4,B,Ipsilateral,P4_B_5.17.23_Ms_GFAP_Stitch-1.tif,818,1163,1.422,0.077,255,362.549,1-10,70,NO
5.17.23_P4_B,5.17.23,5.19.23,5/19/23,1941,WT,Female,P4,B,Ipsilateral,P4_B_5.17.23_Ms_GFAP_Stitch-1.tif,47,263,5.596,0.017,255,1426.915,3.5-10,70,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Contralateral,P4_A_5.17.23_Ms_GFAP_Stitch-1.tif,276,359,1.301,0.028,255,331.685,0-Inf,75,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Contralateral,P4_A_5.17.23_Ms_GFAP_Stitch-1.tif,276,359,1.301,0.028,255,331.685,1-10,75,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Contralateral,P4_A_5.17.23_Ms_GFAP_Stitch-1.tif,11,73,6.636,0.006,255,1692.273,3.5-10,75,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Ipsilateral,P4_A_5.17.23_Ms_GFAP_Stitch-1.tif,1308,2854,2.182,0.237,255,556.399,0-Inf,75,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Ipsilateral,P4_A_5.17.23_Ms_GFAP_Stitch-1.tif,1266,1949,1.539,0.162,255,392.571,1-10,75,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Ipsilateral,P4_A_5.17.23_Ms_GFAP_Stitch-1.tif,91,513,5.637,0.043,255,1437.527,3.5-10,75,NO
9.11.23_P1_A,9.11.23,9.13.23,9.13.23,1906,WT,Male,P1,A,Contralateral,P1_A_911.23_Ms_GFAP_Stitch-1.tif,276,1159,4.199,0.095,255,1070.815,0-Inf,80,NO
9.11.23_P1_A,9.11.23,9.13.23,9.13.23,1906,WT,Male,P1,A,Contralateral,P1_A_911.23_Ms_GFAP_Stitch-1.tif,254,556,2.189,0.046,255,558.189,1-10,80,NO
9.11.23_P1_A,9.11.23,9.13.23,9.13.23,1906,WT,Male,P1,A,Contralateral,P1_A_911.23_Ms_GFAP_Stitch-1.tif,48,258,5.375,0.021,255,1370.625,3.5-10,80,NO
9.11.23_P1_A,9.11.23,9.13.23,9.13.23,1906,WT,Male,P1,A,Ipsilateral,P1_A_911.23_Ms_GFAP_Stitch-1.tif,339,1545,4.558,0.127,255,1162.168,0-Inf,80,NO
9.11.23_P1_A,9.11.23,9.13.23,9.13.23,1906,WT,Male,P1,A,Ipsilateral,P1_A_911.23_Ms_GFAP_Stitch-1.tif,297,710,2.391,0.058,255,609.596,1-10,80,NO
9.11.23_P1_A,9.11.23,9.13.23,9.13.23,1906,WT,Male,P1,A,Ipsilateral,P1_A_911.23_Ms_GFAP_Stitch-1.tif,60,348,5.8,0.029,255,1479,3.5-10,80,NO
9.11.23_P1_B,9.11.23,9.17.23,9.17.23,1906,WT,Male,P1,B,Ipsilateral,P1_B_911.23_Ms_GFAP_1_Stitch-1.tif,1195,4057,3.395,0.453,255,865.72,0-Inf,80,NO
9.11.23_P1_B,9.11.23,9.17.23,9.17.23,1906,WT,Male,P1,B,Ipsilateral,P1_B_911.23_Ms_GFAP_1_Stitch-1.tif,1121,2539,2.265,0.283,255,577.56,1-10,80,NO
9.11.23_P1_B,9.11.23,9.17.23,9.17.23,1906,WT,Male,P1,B,Ipsilateral,P1_B_911.23_Ms_GFAP_1_Stitch-1.tif,207,1217,5.879,0.136,255,1499.203,3.5-10,80,NO
9.11.23_P1_B,9.11.23,9.17.23,9.17.23,1906,WT,Male,P1,B,Contralateral,P1_B_911.23_Ms_GFAP_2_Stitch-1.tif,822,3253,3.957,0.302,255,1009.142,0-Inf,80,NO
9.11.23_P1_B,9.11.23,9.17.23,9.17.23,1906,WT,Male,P1,B,Contralateral,P1_B_911.23_Ms_GFAP_2_Stitch-1.tif,747,1743,2.333,0.162,255,595,1-10,80,NO
9.11.23_P1_B,9.11.23,9.17.23,9.17.23,1906,WT,Male,P1,B,Contralateral,P1_B_911.23_Ms_GFAP_2_Stitch-1.tif,145,860,5.931,0.08,255,1512.414,3.5-10,80,NO
9.11.23_P1_C,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,C,Ipsilateral,P1_C_911.23_Ms_GFAP_1_Stitch-1.tif,431,1666,3.865,0.111,255,985.684,0-Inf,70,NO
9.11.23_P1_C,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,C,Ipsilateral,P1_C_911.23_Ms_GFAP_1_Stitch-1.tif,393,847,2.155,0.056,255,549.58,1-10,70,NO
9.11.23_P1_C,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,C,Ipsilateral,P1_C_911.23_Ms_GFAP_1_Stitch-1.tif,62,367,5.919,0.024,255,1509.435,3.5-10,70,NO
9.11.23_P1_C,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,C,Contralateral,P1_C_911.23_Ms_GFAP_2_Stitch.tif,228,1008,4.421,0.066,255,1127.368,0-Inf,70,NO
9.11.23_P1_C,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,C,Contralateral,P1_C_911.23_Ms_GFAP_2_Stitch.tif,211,484,2.294,0.032,255,584.929,1-10,70,NO
9.11.23_P1_C,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,C,Contralateral,P1_C_911.23_Ms_GFAP_2_Stitch.tif,36,223,6.194,0.015,255,1579.583,3.5-10,70,NO
9.11.23_P1_D,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,D,Ipsilateral,P1_D_911.23_Ms_GFAP_1_Stitch-1.tif,1525,6425,4.213,0.428,255,1074.344,0-Inf,70,NO
9.11.23_P1_D,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,D,Ipsilateral,P1_D_911.23_Ms_GFAP_1_Stitch-1.tif,1394,3331,2.39,0.222,255,609.329,1-10,70,NO
9.11.23_P1_D,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,D,Ipsilateral,P1_D_911.23_Ms_GFAP_1_Stitch-1.tif,281,1691,6.018,0.113,255,1534.537,3.5-10,70,NO
9.11.23_P1_D,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,D,Contralateral,P1_D_911.23_Ms_GFAP_2_Stitch-1.tif,1100,3646,3.315,0.278,255,845.209,0-Inf,80,NO
9.11.23_P1_D,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,D,Contralateral,P1_D_911.23_Ms_GFAP_2_Stitch-1.tif,1030,2335,2.267,0.178,255,578.083,1-10,80,NO
9.11.23_P1_D,9.11.23,9.17.23,9.17.23,1910,MUT,Female,P1,D,Contralateral,P1_D_911.23_Ms_GFAP_2_Stitch-1.tif,182,1081,5.94,0.082,255,1514.588,3.5-10,80,NO
9.11.23_P2_A,9.11.23,9.17.23,9.17.23,1937,WT,Male,P2,A,Contralateral,P2_A_911.23_Ms_GFAP_1_Stitch-1.tif,1162,6507,5.6,0.833,255,1427.956,0-Inf,70,NO
9.11.23_P2_A,9.11.23,9.17.23,9.17.23,1937,WT,Male,P2,A,Contralateral,P2_A_911.23_Ms_GFAP_1_Stitch-1.tif,1028,2409,2.343,0.308,255,597.563,1-10,70,NO
9.11.23_P2_A,9.11.23,9.17.23,9.17.23,1937,WT,Male,P2,A,Contralateral,P2_A_911.23_Ms_GFAP_1_Stitch-1.tif,203,1210,5.961,0.155,255,1519.951,3.5-10,70,NO
9.11.23_P2_A,9.11.23,9.17.23,9.17.23,1937,WT,Male,P2,A,Ipsilateral,P2_A_911.23_Ms_GFAP_2_Stitch-1.tif,2274,12027,5.289,0.945,255,1348.674,0-Inf,70,NO
9.11.23_P2_A,9.11.23,9.17.23,9.17.23,1937,WT,Male,P2,A,Ipsilateral,P2_A_911.23_Ms_GFAP_2_Stitch-1.tif,1977,4385,2.218,0.344,255,565.592,1-10,70,NO
9.11.23_P2_A,9.11.23,9.17.23,9.17.23,1937,WT,Male,P2,A,Ipsilateral,P2_A_911.23_Ms_GFAP_2_Stitch-1.tif,359,2121,5.908,0.167,255,1506.56,3.5-10,70,NO
9.11.23_P2_B,9.11.23,9.15.23,9.15.23,1937,WT,Male,P2,B,Ipsilateral,P2_B_911.23_Ms_GFAP_noAF_Stitch-1.tif,2856,23553,8.247,1.604,255,2102.946,0-Inf,70,NO
9.11.23_P2_B,9.11.23,9.15.23,9.15.23,1937,WT,Male,P2,B,Ipsilateral,P2_B_911.23_Ms_GFAP_noAF_Stitch-1.tif,2315,5137,2.219,0.35,255,565.847,1-10,70,NO
9.11.23_P2_B,9.11.23,9.15.23,9.15.23,1937,WT,Male,P2,B,Ipsilateral,P2_B_911.23_Ms_GFAP_noAF_Stitch-1.tif,384,2338,6.089,0.159,255,1552.578,3.5-10,70,NO
9.11.23_P2_B,9.11.23,9.15.23,9.15.23,1937,WT,Male,P2,B,Contralateral,P2_B_911.23_Ms_GFAP_noAF_Stitch-1.tif,1097,4075,3.715,0.293,255,947.242,0-Inf,70,NO
9.11.23_P2_B,9.11.23,9.15.23,9.15.23,1937,WT,Male,P2,B,Contralateral,P2_B_911.23_Ms_GFAP_noAF_Stitch-1.tif,1029,1930,1.876,0.139,255,478.28,1-10,70,NO
9.11.23_P2_B,9.11.23,9.15.23,9.15.23,1937,WT,Male,P2,B,Contralateral,P2_B_911.23_Ms_GFAP_noAF_Stitch-1.tif,121,721,5.959,0.052,255,1519.463,3.5-10,70,NO
9.11.23_P2_F,9.11.23,9.15.23,9.15.23,1945,HET,Male,P2,F,Contralateral,P2_F_911.23_Ms_GFAP_noAF_Stitch.tif,152,367,2.414,0.023,255,615.691,0-Inf,75,NO
9.11.23_P2_F,9.11.23,9.15.23,9.15.23,1945,HET,Male,P2,F,Contralateral,P2_F_911.23_Ms_GFAP_noAF_Stitch.tif,148,274,1.851,0.017,255,472.095,1-10,75,NO
9.11.23_P2_F,9.11.23,9.15.23,9.15.23,1945,HET,Male,P2,F,Contralateral,P2_F_911.23_Ms_GFAP_noAF_Stitch.tif,20,101,5.05,0.006,255,1287.75,3.5-10,75,NO
9.11.23_P2_F,9.11.23,9.15.23,9.15.23,1945,HET,Male,P2,F,Ipsilateral,P2_F_911.23_Ms_GFAP_noAF_Stitch.tif,1035,4424,4.274,0.31,255,1089.971,0-Inf,75,NO
9.11.23_P2_F,9.11.23,9.15.23,9.15.23,1945,HET,Male,P2,F,Ipsilateral,P2_F_911.23_Ms_GFAP_noAF_Stitch.tif,949,2215,2.334,0.155,255,595.179,1-10,75,NO
9.11.23_P2_F,9.11.23,9.15.23,9.15.23,1945,HET,Male,P2,F,Ipsilateral,P2_F_911.23_Ms_GFAP_noAF_Stitch.tif,194,1130,5.825,0.079,255,1485.309,3.5-10,75,NO
9.11.23_P3_A,9.11.23,9.13.23,9.13.23,12,WT,Male,P3,A,Contralateral,P3_A_911.23_Ms_GFAP_Stitch.tif,998,7109,7.123,0.475,255,1816.428,0-Inf,80,NO
9.11.23_P3_A,9.11.23,9.13.23,9.13.23,12,WT,Male,P3,A,Contralateral,P3_A_911.23_Ms_GFAP_Stitch.tif,849,1971,2.322,0.132,255,591.996,1-10,80,NO
9.11.23_P3_A,9.11.23,9.13.23,9.13.23,12,WT,Male,P3,A,Contralateral,P3_A_911.23_Ms_GFAP_Stitch.tif,164,1002,6.11,0.067,255,1557.988,3.5-10,80,NO
9.11.23_P3_A,9.11.23,9.13.23,9.13.23,12,WT,Male,P3,A,Ipsilateral,P3_A_911.23_Ms_GFAP_Stitch.tif,1135,8449,7.444,0.487,255,1898.233,0-Inf,80,NO
9.11.23_P3_A,9.11.23,9.13.23,9.13.23,12,WT,Male,P3,A,Ipsilateral,P3_A_911.23_Ms_GFAP_Stitch.tif,948,2265,2.389,0.131,255,609.256,1-10,80,NO
9.11.23_P3_A,9.11.23,9.13.23,9.13.23,12,WT,Male,P3,A,Ipsilateral,P3_A_911.23_Ms_GFAP_Stitch.tif,198,1211,6.116,0.07,255,1559.621,3.5-10,80,NO
10.2.23_P1_A,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,A,Ipsilateral,P1_A_102.23_Ms_GFAP_no_AF_Stitch-1.tif,234,645,2.756,0.048,255,702.885,0-Inf,70,NO
10.2.23_P1_A,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,A,Ipsilateral,P1_A_102.23_Ms_GFAP_no_AF_Stitch-1.tif,226,470,2.08,0.035,255,530.31,1-10,70,NO
10.2.23_P1_A,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,A,Ipsilateral,P1_A_102.23_Ms_GFAP_no_AF_Stitch-1.tif,39,214,5.487,0.016,255,1399.231,3.5-10,70,NO
10.2.23_P1_A,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,A,Contralateral,P1_A_102.23_Ms_GFAP_no_AF_Stitch-1.tif,208,665,3.197,0.051,255,815.264,0-Inf,70,NO
10.2.23_P1_A,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,A,Contralateral,P1_A_102.23_Ms_GFAP_no_AF_Stitch-1.tif,196,408,2.082,0.031,255,530.816,1-10,70,NO
10.2.23_P1_A,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,A,Contralateral,P1_A_102.23_Ms_GFAP_no_AF_Stitch-1.tif,31,186,6,0.014,255,1530,3.5-10,70,NO
10.2.23_P1_B,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,B,Contralateral,P1_B_102.23_Ms_GFAP_no_AF_Stitch-1.tif,353,1321,3.742,0.092,255,954.263,0-Inf,80,NO
10.2.23_P1_B,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,B,Contralateral,P1_B_102.23_Ms_GFAP_no_AF_Stitch-1.tif,322,682,2.118,0.047,255,540.093,1-10,80,NO
10.2.23_P1_B,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,B,Contralateral,P1_B_102.23_Ms_GFAP_no_AF_Stitch-1.tif,58,315,5.431,0.022,255,1384.914,3.5-10,80,NO
10.2.23_P1_B,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,B,Ipsilateral,P1_B_102.23_Ms_GFAP_no_AF_Stitch-1.tif,1189,5107,4.295,0.401,255,1095.278,0-Inf,80,NO
10.2.23_P1_B,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,B,Ipsilateral,P1_B_102.23_Ms_GFAP_no_AF_Stitch-1.tif,1084,2509,2.315,0.197,255,590.217,1-10,80,NO
10.2.23_P1_B,10.2.23,10.4.23,10.4.23,12,WT,Male,P1,B,Ipsilateral,P1_B_102.23_Ms_GFAP_no_AF_Stitch-1.tif,207,1245,6.014,0.098,255,1533.696,3.5-10,80,NO
10.2.23_P1_E,10.2.23,10.4.23,10.4.23,15,MUT,Male,P1,E,Ipsilateral,P1_E_102.23_Ms_GFAP_no_AF_Stitch-1.tif,947,5103,5.389,0.322,255,1374.092,0-Inf,70,NO
10.2.23_P1_E,10.2.23,10.4.23,10.4.23,15,MUT,Male,P1,E,Ipsilateral,P1_E_102.23_Ms_GFAP_no_AF_Stitch-1.tif,834,2013,2.414,0.127,255,615.486,1-10,70,NO
10.2.23_P1_E,10.2.23,10.4.23,10.4.23,15,MUT,Male,P1,E,Ipsilateral,P1_E_102.23_Ms_GFAP_no_AF_Stitch-1.tif,178,1079,6.062,0.068,255,1545.758,3.5-10,70,NO
10.2.23_P1_E,10.2.23,10.4.23,10.4.23,15,MUT,Male,P1,E,Contralateral,P1_E_102.23_Ms_GFAP_no_AF_Stitch-1.tif,708,2028,2.864,0.129,255,730.424,0-Inf,70,NO
10.2.23_P1_E,10.2.23,10.4.23,10.4.23,15,MUT,Male,P1,E,Contralateral,P1_E_102.23_Ms_GFAP_no_AF_Stitch-1.tif,678,1461,2.155,0.093,255,549.491,1-10,70,NO
10.2.23_P1_E,10.2.23,10.4.23,10.4.23,15,MUT,Male,P1,E,Contralateral,P1_E_102.23_Ms_GFAP_no_AF_Stitch-1.tif,107,609,5.692,0.039,255,1451.355,3.5-10,70,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Contralateral,P4_A_5.17.23_Ms_GFAP_Stitch (1)-1.tif,314,737,2.347,0.078,255,598.519,0-Inf,80,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Contralateral,P4_A_5.17.23_Ms_GFAP_Stitch (1)-1.tif,308,480,1.558,0.051,255,397.403,1-10,80,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Contralateral,P4_A_5.17.23_Ms_GFAP_Stitch (1)-1.tif,24,134,5.583,0.014,255,1423.75,3.5-10,80,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Ipsilateral,P4_A_5.17.23_Ms_GFAP_Stitch (1)-1.tif,1190,2690,2.261,0.313,255,576.429,0-Inf,80,NO
