feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz	6934	8406	92	81	94	230	0
Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz	8115	6719	41	10	51	18	0
Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz	9603	9975	166	98	103	90	0
Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz	5527	8563	72	79	175	44	0
Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz	5419	3246	64	2	30	64	8
Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz	14512	17434	302	43	77	250	3
Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz	3786	5335	12	12	27	52	0
Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz	4589	4521	6	0	45	20	0
Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz	5443	3076	110	5	34	9	0
Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz	4787	5079	570	31	31	85	0
Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz	6820	6630	1282	31	67	134	0
Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz	7148	6512	105	0	66	44	12
Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz	7901	9556	35	525	117	147	0
Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz	6785	6455	99	6	50	44	0
Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz	11303	5020	78	6	54	89	0
Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz	7230	5865	136	0	37	65	0
Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz	9411	11421	212	0	103	47	4
Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz	9430	8116	157	7	157	93	2
Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz	7419	8227	212	0	199	142	0
Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz	8179	6395	134	10	25	13	0
Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz	11883	8050	261	13	152	33	8
Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz	6485	3074	159	101	27	98	0
Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz	5958	5374	32	0	115	72	0
Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz	7482	5663	110	0	43	55	0
Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz	5390	5246	65	0	34	81	0
Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz	6286	7328	52	11	111	67	0
Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz	5842	7880	41	9	85	53	7
