feature	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	k__Bacteria.p__Thermodesulfobacteriota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum	k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiia.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	k__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Turicimonas	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Limosilactobacillus	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	k__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Mycobacteriales.f__Corynebacteriaceae.g__Corynebacterium	k__Bacteria.p__Bacillota.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus	k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae.UCG.002	k__Bacteria.p__Bacillota.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Butyribacter	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	k__Bacteria.p__Actinomycetota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	k__Bacteria.p__Bacillota.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	k__Bacteria.p__Bacillota.c__Clostridia.o__Clostridia.UCG.014.f__.g__	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Enterocloster	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356	k__Bacteria.p__Bacillota.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	k__Bacteria.p__Bacillota.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Jeotgalicoccus	k__Bacteria.p__Bacillota.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Faecalimonas	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	k__Bacteria.p__Thermodesulfobacteriota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Adlercreutzia	k__Bacteria.p__Bacillota.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	k__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Massiliomicrobiota	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Aerococcus	k__Bacteria.p__Bacillota.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	k__Bacteria.p__Bacillota.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Culicoidibacter	k__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Gordonibacter	k__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriales.Incertae.Sedis.g__
Julianne.899.JEJ_S194_L001_R1_001_F_filt.fastq.gz	2599	569	5646	16889	9199	456	9	18	0	33	0	0	0	0	0	37	0	0	2315	0	574	0	0	43	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rep1.Julianne.717.JEJ_S102_L001_R1_001_F_filt.fastq.gz	4062	4695	2962	3166	9	44	1071	0	0	144	0	103	0	78	0	34	0	0	383	0	15	0	3	35	0	0	0	34	4	0	0	0	40	0	0	0	0	0	0	45	0	0	3	0	0	102	0	0	0
Rep1.Julianne.840.JEJ_S177_L001_R1_001_F_filt.fastq.gz	6263	6584	490	894	1303	1221	925	17	0	123	91	155	26	29	0	40	0	0	0	0	0	0	0	43	0	0	4	126	0	10	0	0	0	0	0	0	0	8	0	49	0	0	0	0	0	19	0	8	3
Rep1.Julianne.841.JEJ_S104_L001_R1_001_F_filt.fastq.gz	4046	6520	1577	1852	208	50	316	79	168	643	470	78	100	190	71	77	23	0	0	39	0	0	12	45	13	0	18	14	29	134	0	0	0	8	0	8	0	6	0	0	16	8	2	0	6	0	0	0	0
Rep1.Julianne.853.JEJ_S120_L001_R1_001_F_filt.fastq.gz	2065	3077	294	304	10249	317	57	147	99	204	82	282	115	201	75	38	30	91	0	16	0	0	0	8	17	42	9	0	22	43	17	0	10	0	16	15	12	17	27	0	15	0	4	0	0	38	0	0	0
Julianne.838.JEJ_S277_L001_R1_001_F_filt.fastq.gz	921	3119	1704	4504	7	23	174	7	0	97	0	0	0	6	7	149	11	0	202	6	0	5	0	14	0	0	7	0	4	4	0	0	12	0	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0
Julianne.923.JEJ_S196_L001_R1_001_F_filt.fastq.gz	404	4922	1688	7520	23	57	93	7	0	578	0	8	0	5	0	218	9	38	213	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Julianne.924.JEJ_S197_L001_R1_001_F_filt.fastq.gz	3982	1263	7671	1000	263	15	50	0	17	121	5	0	0	20	0	53	0	0	2513	0	1611	2	155	12	0	0	0	0	0	0	0	0	265	0	0	0	0	3	0	9	0	908	0	0	0	0	321	0	0
Julianne.962.JEJ_S195_L001_R1_001_F_filt.fastq.gz	13648	0	4968	8749	0	0	0	0	0	0	0	0	0	20	0	0	0	0	242	0	301	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rep1.Julianne.540.JEJ_S118_L001_R1_001_F_filt.fastq.gz	627	7759	1279	1803	187	2968	51	0	0	812	10	0	0	10	0	141	0	0	0	0	35	0	0	61	0	0	0	83	0	10	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	26	0	0	0
Rep1.Julianne.663.JEJ_S126_L001_R1_001_F_filt.fastq.gz	14088	5115	554	319	394	144	90	206	307	155	6	498	161	694	158	37	104	22	215	37	0	8	95	12	25	72	23	5	47	206	75	17	48	20	56	51	9	31	0	12	33	0	13	95	41	47	0	0	0
Rep1.Julianne.847.JEJ_S112_L001_R1_001_F_filt.fastq.gz	6232	3984	1645	1919	132	52	292	60	157	500	658	59	67	124	29	124	20	8	0	26	0	0	0	48	8	0	0	14	26	37	0	0	0	0	0	8	4	4	2	31	0	5	0	5	0	0	0	0	0
Rep1.Julianne.858.JEJ_S164_L001_R1_001_F_filt.fastq.gz	16026	2688	246	0	0	325	1967	0	0	132	0	163	42	35	0	24	0	0	0	0	0	0	0	161	0	0	0	242	0	0	0	0	26	0	0	0	0	0	0	120	0	0	0	0	0	0	0	32	0
