"PFF_Colon_11"	"PFF_Colon_12"	"PFF_Colon_13"	"PFF_Colon_14"	"PFF_Colon_15"	"PFF_Colon_16"	"PFF_Colon_17"	"PFF_Colon_18"	"PFF_Colon_19"	"PFF_Colon_1904"	"PFF_Colon_1906"	"PFF_Colon_1907"	"PFF_Colon_1908"	"PFF_Colon_1910"	"PFF_Colon_1913"	"PFF_Colon_1914"	"PFF_Colon_1917"	"PFF_Colon_1920"	"PFF_Colon_1921"	"PFF_Colon_1937"	"PFF_Colon_1938"	"PFF_Colon_1941"	"PFF_Colon_1942"	"PFF_Colon_1943"	"PFF_Colon_1944"	"PFF_Colon_1945"	"PFF_Colon_1946"	"PFF_Colon_21"	"PFF_Colon_25"	"PFF_Colon_27"	"PFF_Colon_28"	"PFF_Colon_30"	"PFF_Colon_32"	"PFF_Colon_35"	"PFF_Colon_36"	"PFF_Colon_37"
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila"	10	41	0	0	39	0	30	8	0	9	10	0	0	3	0	0	0	7	15	0	16	29	0	0	0	0	12	0	0	73	0	0	0	12	31	12
"k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio"	63	271	67	54	417	19	81	380	106	236	289	763	290	26	80	109	146	0	116	7	0	82	326	408	135	20	146	184	31	677	57	62	95	92	1043	332
"k__Bacteria;p__Firmicutes;c__;o__;f__;g__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma"	8	0	6	8	0	13	15	71	12	34	27	4	17	0	15	4	9	7	28	0	0	31	10	34	7	40	0	360	0	24	0	11	21	8	93	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Terribacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__"	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Candidatus Stoquefichus"	0	0	0	0	0	0	0	0	0	0	17	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium"	83	43	7	0	139	138	0	54	105	0	0	88	23	0	0	0	17	0	34	25	7	5	28	25	95	0	122	11	121	75	48	0	0	472	89	45
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__"	0	4	6	42	10	92	13	15	8	0	6	4	47	16	7	15	9	0	0	18	6	4	18	24	5	0	0	65	0	12	10	0	143	474	15	57
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum"	840	0	289	88	0	124	0	84	0	178	17	625	42	16	108	61	50	1013	24	13	5095	166	29	19	0	94	0	0	130	0	19	0	316	0	33	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter"	43	0	26	79	0	0	790	8	166	3121	44	503	124	25	581	489	307	209	149	93	13	193	0	13	0	0	0	0	16	0	9	157	607	0	7822	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus"	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	20	0	27	32	0	0	0	0	0	0	0	0	7	0	0	0	39	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__HT002"	0	9	33	24	0	0	468	192	23	65	70	155	379	3696	21	0	626	1884	815	0	74	435	25	0	0	0	21	0	20	18	0	0	133	53	136	179
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus"	0	0	34	0	0	0	1727	372	108	0	20	599	776	2658	0	0	1429	3787	919	0	0	670	8	0	0	0	10	0	18	15	6	0	539	311	752	609
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus"	13324	7187	5196	20404	1456	22753	5973	18833	15494	13818	4127	6386	7532	10749	12561	6727	3558	6896	2929	7960	2705	14314	13447	12134	6158	10159	4905	12558	18823	10091	20797	8106	7213	3820	2081	12936
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus"	19	0	0	0	8	0	0	10	13	14	21	0	10	11	0	0	0	8	32	0	0	0	0	8	27	0	9	0	0	0	16	0	11	31	29	16
"k__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__;g__"	14	0	0	14	3	127	0	0	7	10	0	0	9	7	13	3	7	8	10	17	18	4	16	19	6	7	0	3	8	20	78	26	13	21	62	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus"	8	0	0	0	0	7	0	0	8	0	0	0	0	0	0	0	6	0	15	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	7
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Kroppenstedtia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Thermoactinomyces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__;g__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	4	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae R-7 group"	0	0	0	0	0	16	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__;g__"	780	19	102	315	0	2448	120	28	274	167	185	124	161	182	56	707	331	54	89	189	157	62	206	102	297	335	56	117	222	635	1054	0	252	201	282	37
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__"	18	150	37	12	55	39	61	54	44	174	74	21	10	37	7	27	141	110	124	4	56	57	31	32	107	10	6	17	17	161	42	29	6	36	186	69
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus Arthromitus"	0	0	0	0	0	0	5	0	0	0	38	0	0	0	0	0	6	0	0	0	8	0	3	28	0	27	0	0	0	5	0	0	0	0	12	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium sensu stricto 1"	56	0	86	142	0	0	365	43	348	0	46	501	293	560	10	692	513	377	82	0	0	155	0	210	0	0	0	0	20	0	15	0	881	829	68	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis"	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae UCG-011"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__"	668	1974	1735	857	1531	586	583	2022	430	1370	2532	899	1532	1121	190	533	1453	619	1905	209	706	2739	490	664	800	194	372	2198	234	2498	810	263	575	805	2077	1006
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2"	57	97	61	55	63	19	28	328	50	241	142	21	86	73	19	22	155	67	193	110	0	200	27	103	72	32	13	161	47	170	161	99	50	93	177	62
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASF356"	0	0	0	0	116	0	0	91	0	181	242	35	39	0	7	5	37	0	21	0	0	46	26	20	62	13	9	0	0	0	14	0	0	44	0	111
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor"	16	67	35	40	10	9	0	17	0	37	0	0	0	0	0	0	29	0	57	0	0	26	0	20	14	0	0	56	0	21	42	0	0	16	94	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes"	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	7	34	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia"	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	134	115	94	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575"	90	110	99	29	92	12	20	51	44	141	274	8	54	253	7	69	275	44	118	30	59	222	55	105	43	19	20	28	41	120	63	38	10	0	46	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium"	613	276	322	246	244	202	102	411	327	602	578	261	741	310	197	193	196	164	654	198	334	442	116	434	214	187	160	654	220	1860	541	217	208	505	1398	299
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae AC2044 group"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	60	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group"	0	155	0	0	97	0	16	0	0	39	110	35	26	0	0	0	0	0	21	0	80	43	9	0	107	0	0	83	0	22	14	17	0	0	0	105
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group"	535	14194	605	640	6406	597	3537	2333	939	1645	663	397	1451	1942	742	405	1427	1206	4066	1831	631	2963	488	2069	1584	508	290	1878	242	4265	896	1032	957	2321	6572	2079
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4B4 group"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	7	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-001"	53	0	846	142	0	0	269	0	270	1396	2094	0	517	0	0	257	178	31	160	9	0	476	50	20	0	51	0	985	13	242	37	46	74	89	88	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-002"	0	0	0	0	0	0	0	0	15	14	25	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	17	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-004"	0	18	0	0	0	13	0	12	0	15	33	22	19	0	0	0	0	14	0	0	0	21	0	19	0	0	0	25	0	0	0	0	0	0	0	17
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-006"	44	89	63	91	140	150	0	525	441	118	187	104	176	55	177	42	58	0	130	13	62	91	30	278	80	44	42	145	17	395	139	76	269	116	530	19
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia"	43	194	210	399	51	0	11	0	0	11	217	23	52	87	0	0	0	0	23	29	81	7	58	30	37	138	466	0	9	15	36	311	17	35	22	443
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia"	149	0	20	9	127	31	312	43	56	80	16	107	112	148	124	0	208	161	316	35	0	773	72	80	9	13	0	24	68	915	192	0	21	0	90	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella"	0	16	0	13	0	0	16	0	26	0	0	0	0	8	0	0	0	17	0	0	5	0	0	0	0	0	0	16	0	58	0	0	0	0	7	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] ruminantium group"	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] ventriosum group"	30	40	0	6	90	156	67	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	56	111	0	81	0	0	0	366	129	0	32	14	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group"	212	112	13	19	51	63	161	78	105	106	52	47	64	56	129	0	86	80	84	73	33	161	114	0	253	10	5	164	61	226	0	111	104	160	368	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus] gnavus group"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus"	0	45	0	0	0	13	38	12	13	10	0	13	42	0	0	0	10	0	27	35	10	36	28	0	33	0	0	19	12	0	35	0	26	0	9	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__;g__"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus"	9	34	24	0	54	8	0	42	11	36	34	0	0	55	7	11	45	9	60	0	13	21	0	39	38	32	0	73	23	163	5	0	12	17	57	16
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009"	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	17	0	0	0	0	0	0	0	43	0	0	0	0	34	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Hungateiclostridiaceae;g__Pseudobacteroides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__"	29	249	31	31	190	35	82	240	20	85	49	0	40	59	17	38	23	0	268	32	33	257	51	85	183	0	44	38	0	186	135	64	76	49	303	154
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter"	73	217	52	0	129	0	79	89	38	77	92	44	53	73	0	32	84	51	207	17	32	218	51	149	148	0	27	87	20	363	88	35	63	36	195	116
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas"	109	179	72	38	160	55	101	175	88	72	74	56	53	0	66	63	117	15	223	44	44	163	62	332	102	60	57	85	26	588	78	21	80	66	251	94
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214 group"	8	8	14	0	22	0	0	0	14	9	6	0	0	0	16	18	0	0	8	15	0	8	0	27	6	0	7	0	9	8	0	0	11	0	10	22
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter"	32	133	24	10	125	42	137	75	42	84	224	12	45	41	12	40	85	63	159	23	20	245	54	94	68	25	0	70	0	254	57	31	23	29	69	37
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
